id,period,title,language
1087,Autumn 2023,Kvalitative forskningsmetoder og akademisk formidling,Danish
1088,Autumn 2024,Kvalitative forskningsmetoder og akademisk formidling,Danish
1089,Autumn 2025,Kvalitative forskningsmetoder og akademisk formidling,Danish
1090,Autumn 2025,Kvantitative metoder og undersøgelser,Danish
1091,Autumn 2022,LS Diplomas,Danish
1092,Autumn 2022,LS teachIT template,Danish
1093,Autumn 2022,LTS - Learning Technology Seminar,Danish
1094,Spring 2019,Large Scale Data Analysis,Danish
1095,Spring 2020,Large Scale Data Analysis,Danish
1096,Autumn 2019,Leadership and Strategies for the Blockchain Economy,English
1097,Spring 2021,LeanIT for Online Teaching (TA webinar),English
1098,Spring 2021,Learn GenaAI (AAU material)_cazh testkursus,English
1099,Spring 2021,LearnIT Help for Teachers,English
1100,Spring 2021,Learning Technology Basics 2015 TDP module,English
1101,Spring 2021,Learning Technology Basics A2016,English
1102,Spring 2021,Learning Technology Course,English
1103,Spring 2021,Learning Technology Course Playground,English
1104,Spring 2021,Learning Technology Seminar (A2022),English
1105,Spring 2021,Learning Technology Seminar (TDP) A2019,English
1106,Spring 2021,Learning Technology Seminar A2017,English
1107,Spring 2021,Learning Technology Seminar A2018,English
1108,Spring 2021,Learning Technology Seminar A2020,English
1109,Spring 2021,Learning Technology Seminar S2019,English
1110,Spring 2021,Learning Technology Seminar S2020,English
1111,Autumn 2013,Learning and IT,English
1112,Spring 2014,Learning and IT,English
1113,Spring 2022,Ledelse af digital transformation,Danish
1114,Spring 2022,Ledelse af digital transformation,English
1115,Spring 2023,Ledelse af digital transformation,English
1116,Spring 2024,Ledelse af digital transformation,English
1117,Autumn 2019,Ledelse af kreative projekter,Danish
1118,Autumn 2019,Ledelse af kreative projekter,English
1119,Autumn 2020,Ledelse af kreative projekter,English
1120,Autumn 2021,Ledelse af kreative projekter,English
1121,Spring 2021,Ledelse af kreative projekter (Summer University),Danish
1122,Spring 2021,Ledelse af kreative projekter (Summer University),English
1123,Spring 2022,Ledelse af kreative projekter (Summer University),English
1124,Spring 2023,Ledelse af kreative projekter (Summer University),English
1125,Spring 2024,Ledelse af kreative projekter (Summer University),English
1126,Spring 2026,Legende design,Danish
1127,Autumn 2019,Linear Algebra and Optimisation,English
1128,Autumn 2018,Linear Algebra and Optimisation,Danish
1129,Autumn 2019,Linear Algebra and Optimisation,Danish
1130,Autumn 2020,Linear Algebra and Optimisation,Danish
1131,Autumn 2021,Linear Algebra and Optimisation,Danish
1132,Autumn 2022,Linear Algebra and Optimisation,Danish
1133,Autumn 2023,Linear Algebra and Optimisation,Danish
1134,Autumn 2024,Linear Algebra and Optimisation,Danish
1135,Autumn 2025,Linear Algebra and Optimisation,Danish
1136,Spring 2018,Linear Algebra and Optimisation,Danish
1137,Spring 2019,Linear Algebra and Probability,Danish
1138,Spring 2020,Linear Algebra and Probability,Danish
1139,Spring 2021,Linear Algebra and Probability,Danish
1140,Spring 2022,Linear Algebra and Probability,Danish
1141,Spring 2023,Linear Algebra and Probability,Danish
1142,Spring 2024,Linear Algebra and Probability,Danish
1143,Spring 2025,Linear Algebra and Probability,Danish
1144,Spring 2026,Linear Algebra and Probability,Danish
1145,Spring 2017,Locative Media,Danish
1146,Spring 2018,Locative Media,Danish
1147,Spring 2019,Locative Media,Danish
1148,Autumn 2023,Lorem - kopieret testkursus - joje,Danish
1149,Autumn 2024,Lorem - kopieret testkursus - joje,Danish
1150,Spring 2025,MSc Thesis Preparation (DIM 2017),Danish
1151,Autumn 2019,Machine Learning,English
1152,Autumn 2021,Machine Learning,English
1153,Autumn 2018,Machine Learning,English
1154,Autumn 2020,Machine Learning,English
1155,Autumn 2022,Machine Learning,English
1156,Autumn 2023,Machine Learning,English
1157,Autumn 2024,Machine Learning,English
1158,Autumn 2025,Machine Learning,English
1159,Autumn 2019,Making Games,English
1160,Autumn 2018,Making Games,English
1161,Autumn 2020,Making Games,English
1162,Autumn 2021,Making Games,English
1163,Autumn 2022,Making Games,English
1164,Autumn 2023,Making Games,English
1165,Autumn 2024,Making Games,English
1166,Autumn 2025,Making Games,English
1167,Spring 2026,Making Sense of Service Systems,English
1168,Spring 2025,Management of Digital Transformation,English
1169,Spring 2026,Management of Digital Transformation,English
1170,Autumn 2024,Managing Business Analytics and Data-Driven Decision-Making,English
1171,Autumn 2025,Managing Business Analytics and Data-Driven Decision-Making,English
1172,Spring 2023,Managing Digital Transformation,English
1173,Spring 2024,Managing Risk in IT and Cybersecurity - BSc (Summer University),English
1174,Spring 2024,Managing Risk in IT and Cybersecurity - MSc. (Summer University),English
1175,Autumn 2026,Managing Service Strategy and Innovation,English
1176,Autumn 2019,Managing Sustainability,English
1177,Autumn 2020,Methodology and Communication in IT Management,English
1178,Spring 2020,Mobile App Development - BSc,English
1179,Autumn 2019,Mobile and Distributed Systems - BSc,English
1180,Autumn 2019,Mobile and Distributed Systems - MSc,English
1181,Spring 2021,Modelling Systems and Languages,
1182,Spring 2019,Modelling Systems and Languages,
1183,Spring 2020,Modelling Systems and Languages,
1184,Spring 2022,Modelling Systems and Languages,
1185,Spring 2023,Modelling Systems and Languages,
1186,Spring 2024,Modelling Systems and Languages,
1187,Spring 2025,Modelling Systems and Languages,
1188,Spring 2026,Modelling Systems and Languages,
1189,Autumn 2013,Modern AI for Games,
1190,Autumn 2014,Modern AI for Games,
1191,Autumn 2015,Modern AI for Games,
1192,Autumn 2016,Modern AI for Games,
1193,Autumn 2017,Modern AI for Games,
1194,Autumn 2019,Modern Artificial Intelligence,English
1195,Autumn 2018,Modern Artificial Intelligence,
1196,Autumn 2019,Modern Artificial Intelligence,
1197,Autumn 2020,Modern Artificial Intelligence,
1198,Autumn 2021,Modern Artificial Intelligence,
1199,Spring 2021,My course,
1200,Autumn 2024,NOT IN USE - Distributed Systems MSc,
1201,Spring 2021,NOT IN USE - ITU Project Template,
1202,Spring 2021,NOT IN USE - ITU Thesis Template,
1203,Autumn 2024,NOT IN USE - Introduction to Database Systems - DS,
1204,Autumn 2024,NOT IN USE - Introduction to Database Systems - MSc SD,
1205,Autumn 2024,NOT IN USE - Operating Systems and C - MSc SD,
1206,Autumn 2025,Navigating Complexity: Mapping - Analyzing and Decision-Making,English
1207,Autumn 2025,Navigating Complexity: Mapping - Analyzing and Decision-Making,
1208,Autumn 2019,Navigating Complexity: Mapping - Visualisation and Decision-making,English
1209,Autumn 2018,Navigating Complexity: Mapping - Visualisation and Decision-making,
1210,Autumn 2019,Navigating Complexity: Mapping - Visualisation and Decision-making,
1211,Autumn 2020,Navigating Complexity: Mapping - Visualisation and Decision-making,
1212,Autumn 2021,Navigating Complexity: Mapping - Visualisation and Decision-making,
1213,Autumn 2022,Navigating Complexity: Mapping - Visualisation and Decision-making,
1214,Autumn 2023,Navigating Complexity: Mapping - Visualisation and Decision-making,
1215,Autumn 2024,Navigating Complexity: Mapping - Visualisation and Decision-making,
1216,Autumn 2019,Network Analysis,English
1217,Autumn 2018,Network Analysis,
1218,Autumn 2019,Network Analysis,
1219,Autumn 2020,Network Analysis,
1220,Autumn 2021,Network Analysis,
1221,Autumn 2022,Network Analysis,
1222,Autumn 2023,Network Analysis,
1223,Autumn 2024,Network Analysis,
1224,Autumn 2025,Network Analysis,
1225,Spring 2020,Network Society,English
1226,Autumn 2014,Network Society,
1227,Autumn 2019,Networked Media and Communication,English
1228,Autumn 2017,Networked Media and Communication,English
1229,Autumn 2018,Networked Media and Communication,English
1230,Autumn 2020,Networked Media and Communication,English
1231,Autumn 2021,Networked Media and Communication,English
1232,Autumn 2022,Networked Media and Communication,English
1233,Autumn 2023,Networked Media and Communication,English
1234,Autumn 2015,New LearnIT from 6 March 2021. Info for Course Managers and Teachers,English
1235,Autumn 2015,New LearnIT from 6 March 2021. Info for Students,English
1236,Autumn 2013,New Media and Communication,English
1237,Autumn 2014,New Media and Communication,English
1238,Autumn 2015,New Media and Communication,English
1239,Autumn 2016,New Media and Communication,English
1240,Autumn 2015,Not offered - Project: Service Design,English
1241,Autumn 2015,Not offered - Research Topics in Interaction Design,English
1242,Autumn 2015,Not offered - Social Media Usage,English
1243,Autumn 2015,Not offered - User Experience,English
1244,Autumn 2015,Not offered - User-centered Communication Design,English
1245,Autumn 2023,Nyt testkursus i E23,English
1246,Autumn 2013,Object Oriented Programming,English
1247,Autumn 2014,Object Oriented Programming,English
1248,Autumn 2015,Object Oriented Programming,English
1249,Autumn 2016,Object Oriented Programming,English
1250,Spring 2014,Object Oriented Programming,English
1251,Spring 2015,Object Oriented Programming,English
1252,Spring 2016,Object Oriented Programming,English
1253,Autumn 2015,Onboarding - Head Tutors,English
1254,Autumn 2015,Onboarding - Study & Career Guidance Team,English
1255,Autumn 2015,Onboarding - Tutors & Buddies_OLD,English
1256,Autumn 2019,Operating Systems and C,English
1257,Autumn 2013,Operating Systems and C,English
1258,Autumn 2018,Operating Systems and C,English
1259,Autumn 2020,Operating Systems and C,English
1260,Autumn 2021,Operating Systems and C,English
1261,Autumn 2022,Operating Systems and C,English
1262,Autumn 2023,Operating Systems and C,English
1263,Spring 2014,Operating Systems and C (Autumn 2024) MSc and BSc,English
1264,Autumn 2025,Operating Systems and C,English
1265,Autumn 2022,Operating Systems and C - MSc SD,English
1266,Autumn 2023,Operating Systems and C - MSc SD,English
1267,Autumn 2025,Operating Systems and C - MSc SD,English
1268,Autumn 2014,Operativsystemer og C,English
1269,Autumn 2015,Operativsystemer og C,English
1270,Autumn 2016,Operativsystemer og C,English
1271,Autumn 2017,Operativsystemer og C,English
1272,Autumn 2013,Organisation & Process Theory,English
1273,Autumn 2014,Organisation & Process Theory,English
1274,Autumn 2019,Organisation and Process Theory,English
1275,Autumn 2024,Organisation and Process Theory,English
1276,Autumn 2015,Organisation and Process Theory,English
1277,Autumn 2016,Organisation and Process Theory,English
1278,Autumn 2017,Organisation and Process Theory,English
1279,Autumn 2018,Organisation and Process Theory,English
1280,Autumn 2020,Organisation and Process Theory,English
1281,Autumn 2021,Organisation and Process Theory,English
1282,Autumn 2022,Organisation and Process Theory,English
1283,Autumn 2023,Organisation and Process Theory,English
1284,Spring 2022,Organisation og innovation,Danish
1285,Spring 2022,Organisation og innovation,English
1286,Spring 2023,Organisation og innovation,English
1287,Autumn 2025,Organisational Analysis,English
1288,Autumn 2019,Organisational Change,English
1289,Autumn 2020,Organisational Change,English
1290,Autumn 2021,Organisational Change,English
1291,Autumn 2022,Organisational Change,English
1292,Spring 2020,Organisational Change (Summer University),English
1293,Spring 2021,Organisational Change (Summer University),English
1294,Spring 2022,Organisational Change (Summer University),English
1295,Spring 2023,Organisational Change (Summer University),English
1296,Spring 2014,Organisations- og virksomhedsudvikling,English
1297,Spring 2024,Organisatorisk innovations- og forandringsledelse,Danish
1298,Spring 2024,Organisatorisk innovations- og forandringsledelse,English
1299,Spring 2025,Organisatorisk innovations- og forandringsledelse,English
1300,Spring 2026,Organisatorisk innovations- og forandringsledelse,English
1301,Autumn 2014,Organizing and Managing Process Innovation,English
1302,Autumn 2015,Organizing and Managing Process Innovation,English
1303,Autumn 2016,Organizing and Managing Process Innovation,English
1304,Autumn 2022,Perspectives on Games,English
1305,Autumn 2023,Perspectives on Games,English
1306,Spring 2015,Pervasive Computing,English
1307,Spring 2016,Pervasive Computing,English
1308,Spring 2014,Pervasive Computing (lectures),English
1309,Autumn 2013,Pervasive Computing (project),English
1310,Autumn 2014,Pervasive Computing (project),English
1311,Autumn 2015,Pervasive Computing Project,English
1312,Autumn 2016,Pervasive Computing Project,English
1313,Autumn 2017,Pervasive Computing Project,English
1314,Autumn 2018,Pervasive Computing Project,English
1315,Autumn 2019,Pervasive Computing Project,English
1316,Spring 2017,Pervasive Computing - MSc,English
1317,Spring 2018,Pervasive Computing - MSc,English
1318,Spring 2026,Philosophy of Design and Ethics,English
1319,Spring 2014,Philosophy of Science,English
1320,Spring 2015,Philosophy of Science and Technology (DMD),English
1321,Spring 2015,Philosophy of Science and Technology (GBI),English
1322,Spring 2014,Philosophy of Science and Technology,English
1323,Spring 2016,Philosophy of Science and Technology,English
1324,Spring 2017,Philosophy of Science and Technology,English
1325,Spring 2018,Philosophy of Science and Technology - DMD,English
1326,Spring 2019,Philosophy of Science and Technology - DMD,English
1327,Autumn 2019,Philosophy of Science and Technology - DMD/B-DDIT,English
1328,Autumn 2020,Philosophy of Science and Technology - DMD/B-DDIT,English
1329,Autumn 2021,Philosophy of Science and Technology - DMD/B-DDIT,English
1330,Autumn 2022,Philosophy of Science and Technology - DMD/B-DDIT,English
1331,Autumn 2023,Philosophy of Science and Technology - DMD/B-DDIT,English
1332,Spring 2025,Physical Computing – Theory and Practice,English
1333,Spring 2026,Physical Computing - teori og praksis,Danish
1334,Autumn 2019,Play Lab,English
1335,Autumn 2018,Play Lab,English
1336,Autumn 2020,Play Lab,English
1337,Autumn 2021,Play Lab,English
1338,Autumn 2022,Play Lab,English
1339,Autumn 2023,Play Lab,English
1340,Autumn 2024,Play Lab,English
1341,Autumn 2025,Play Lab,English
1342,Spring 2019,Playable Media,English
1343,Spring 2020,Playable Media,English
1344,Spring 2021,Playable Media,English
1345,Spring 2022,Playable Media,English
1346,Spring 2023,Playable Media,English
1347,Spring 2024,Playable Media,English
1348,Spring 2025,Playable Media,English
1349,Spring 2026,Playable Media,English
1350,Spring 2014,Playful Design,English
1351,Spring 2017,Politisk kommunikation,English
1352,Spring 2014,Practical & Strategic Communication,English
1353,Autumn 2014,Practical Concurrent and Parallel Programming,English
1354,Autumn 2015,Practical Concurrent and Parallel Programming,English
1355,Autumn 2016,Practical Concurrent and Parallel Programming,English
1356,Autumn 2017,Practical Concurrent and Parallel Programming,English
1357,Autumn 2018,Practical Concurrent and Parallel Programming - CS/SDT,English
1358,Autumn 2019,Practical Concurrent and Parallel Programming - MSc CS,
1359,Autumn 2025,Practical Concurrent and Parallel Programming - MSc CS,
1360,Autumn 2025,Practical Concurrent and Parallel Programming - MSc CS (Autumn 2018) - MERGED with KSPRCPP1KU,
1361,Autumn 2020,Practical Concurrent and Parallel Programming - MSc CS,
1362,Autumn 2021,Practical Concurrent and Parallel Programming - MSc CS,
1363,Autumn 2022,Practical Concurrent and Parallel Programming - MSc CS,
1364,Autumn 2023,Practical Concurrent and Parallel Programming - MSc CS,
1365,Autumn 2024,Practical Concurrent and Parallel Programming - MSc CS,
1366,Autumn 2025,Practical Software Analysis,English
1367,Autumn 2025,Practical Software Analysis,
1368,Autumn 2025,PractiseIT A2018,
1369,Autumn 2025,PractiseIT A23,
1370,Autumn 2013,Presentation and Investigation,
1371,Spring 2020,Probabilistic Programming,English
1372,Spring 2020,Probabilistic Programming,
1373,Spring 2021,Probabilistic Programming,
1374,Spring 2022,Probabilistic Programming,
1375,Spring 2024,Probabilistic Programming,
1376,Spring 2025,Probabilistic Programming,
1377,Spring 2026,Probabilistic Programming,
1378,Spring 2025,Probabilistic Programming - BDS,English
1379,Spring 2025,Probabilistic Programming - BDS,
1380,Spring 2026,Probabilistic Programming - BDS,
1381,Spring 2026,Procedural Content Generation for Games,English
1382,Spring 2026,Procedural Content Generation for Games,
1383,Autumn 2013,Procedural Content Generation in Games,
1384,Autumn 2014,Procedural Content Generation in Games,
1385,Autumn 2015,Procedural Content Generation in Games,
1386,Autumn 2016,Procedural Content Generation in Games,
1387,Spring 2026,Process Innovation,English
1388,Autumn 2017,Process Innovation,English
1389,Autumn 2018,Process Innovation,English
1390,Autumn 2019,Process Innovation,English
1391,Spring 2019,Process Innovation,English
1392,Spring 2020,Process Innovation,English
1393,Spring 2021,Process Innovation,English
1394,Spring 2022,Process Innovation,English
1395,Spring 2023,Process Innovation,English
1396,Spring 2024,Process Innovation,English
1397,Spring 2025,Process Innovation,English
1398,Spring 2026,Process Innovation - extraordinary exam (autumn 2021),English
1399,Spring 2022,Program Verification - BSc,English
1400,Spring 2023,Program Verification - BSc,English
1401,Spring 2024,Program Verification - BSc,English
1402,Spring 2025,Program Verification - BSc,English
1403,Spring 2026,Program Verification - BSc,English
1404,Spring 2022,Program Verification - MSc,English
1405,Spring 2023,Program Verification - MSc,English
1406,Spring 2024,Program Verification - MSc,English
1407,Spring 2025,Program Verification - MSc,English
1408,Spring 2026,Program Verification - MSc,English
1409,Autumn 2019,Programmer som data,Danish
1410,Autumn 2014,Programmer som data,English
1411,Autumn 2015,Programmer som data,English
1412,Autumn 2016,Programmer som data,English
1413,Autumn 2017,Programmer som data,English
1414,Autumn 2018,Programmer som data,English
1415,Autumn 2024,Programming Experimental Interactions,
1416,Autumn 2020,Programming Mobile Applications,English
1417,Spring 2021,Programming and Data Processing,
1418,Spring 2026,Programming and Data Processing,
1419,Spring 2022,Programming and Data Processing,
1420,Spring 2023,Programming and Data Processing,
1421,Spring 2024,Programming and Data Processing,
1422,Spring 2025,Programming and Data Processing,
1423,Autumn 2019,Programming for Designers,
1424,Autumn 2017,Programming for Designers,
1425,Autumn 2018,Programming for Designers,
1426,Autumn 2020,Programming for Designers,
1427,Autumn 2021,Programming for Designers,
1428,Autumn 2022,Programming for Designers,
1429,Autumn 2023,Programming for Designers,
1430,Autumn 2024,Programming for Designers,
1431,Autumn 2025,Programming for Designers,
1432,Spring 2014,Programming for Game Designers,
1433,Spring 2015,Programming for Game Designers,
1434,Spring 2016,Programming for Game Designers,
1435,Spring 2017,Programming for Game Designers,
1436,Autumn 2013,Programs as Data,
1437,Spring 2026,Project & Thesis Supervision (TDP) S2021,
1438,Spring 2026,Project & Thesis Supervision Course S2019,
1439,Spring 2014,Project Cluster. B.Sc. Project,
1440,Spring 2014,Project Cluster. B.Sc. Project - GBI,
1441,Spring 2014,Project Cluster: Bachelor's Project,
1442,Spring 2014,Project Cluster: Concept Development with Industry,
1443,Autumn 2013,Project Cluster: IT Leadership and Management,
1444,Spring 2014,Project Cluster: IT Leadership and Management,
1445,Autumn 2013,Project Cluster: Introductory Academic Project,
1446,Spring 2014,Project Cluster: Introductory Academic Project,
1447,Autumn 2013,Project Work and Communication I,
1448,Autumn 2013,Project Work and Communication II,
1449,Spring 2026,Project and Thesis Supervision Course,
1450,Spring 2026,Project and Thesis Supervision Course (TDP) A2022,
1451,Spring 2026,Project and Thesis Supervision Course S2023,
1452,Spring 2026,Project and thesis supervision A2019,
1453,Spring 2026,Project and thesis supervision A2020,
1454,Spring 2026,Project and thesis supervision S2020,
1455,Spring 2026,Project and thesis supervision course (TDP) A2021,
1456,Spring 2024,Projects in Data Science,English
1457,Spring 2025,Projects in Data Science,English
1458,Spring 2026,Projects in Data Science,English
1459,Autumn 2019,Projektarbejde og kommunikation,Danish
1460,Autumn 2015,Projektarbejde og kommunikation,English
1461,Autumn 2016,Projektarbejde og kommunikation,English
1462,Autumn 2017,Projektarbejde og kommunikation,English
1463,Programme Access course Project and thesis supervision course A2017 Semester,Projektarbejde og kommunikation (Autumn 2018) - MERGED with 1407003U-1,English
1464,Autumn 2019,Projektarbejde og kommunikation,English
1465,Autumn 2020,Projektarbejde og kommunikation,English
1466,Autumn 2021,Projektarbejde og kommunikation,English
1467,Autumn 2022,Projektarbejde og kommunikation,English
1468,Autumn 2023,Projektarbejde og kommunikation,English
1469,Autumn 2024,Projektarbejde og kommunikation,English
1470,Autumn 2025,Projektarbejde og kommunikation,English
1471,Autumn 2018,Projektarbejde og kommunikation 1+2,English
1472,Autumn 2014,Projektarbejde og kommunikation I,English
1473,Autumn 2014,Projektarbejde og kommunikation II,English
1474,Autumn 2014,Projektklynge om IT-ledelse,English
1475,Spring 2014,Projektklynge: Innovative Forretningsmodeller med Mobile Enheder - F2014,English
1476,Autumn 2014,Projektklynge: Introducerende akademisk projekt,English
1477,Spring 2015,Projektklynge: Introducerende akademisk projekt,English
1478,Autumn 2019,Prototyping af interaktive teknologier,Danish
1479,Autumn 2018,Prototyping af interaktive teknologier,English
1480,Autumn 2019,Prototyping af interaktive teknologier,English
1481,Spring 2020,Psychology of Play and Games,English
1482,Spring 2021,Psychology of Play and Games,English
1483,Spring 2022,Psychology of Play and Games,English
1484,Spring 2023,Psychology of Play and Games,English
1485,Spring 2024,Psychology of Play and Games,English
1486,Spring 2025,Psychology of Play and Games,English
1487,Spring 2026,Psychology of Play and Games,English
1488,Autumn 2018,Qualification Seminar Programming,English
1489,Spring 2020,Qualification Seminar Programming (Summer 2018),English
1490,Spring 2020,Qualification Seminar Programming (Summer 2019),English
1491,Autumn 2018,Qualification Seminar Qualitative Methods,English
1492,Spring 2020,Qualification Seminar Qualitative Methods (Summer 2018),English
1493,Spring 2020,Qualification Seminar Qualitative Methods (Summer 2019),English
1494,Spring 2014,Qualitative Methods,English
1495,Spring 2015,Qualitative Methods,English
1496,Spring 2016,Qualitative Methods,English
1497,Spring 2017,Qualitative Methods,English
1498,Spring 2025,Qualitative Methods and Reflections,English
1499,Spring 2026,Qualitative Methods and Reflections,English
1500,Spring 2026,Quantitative Methods & Business Analytics,English
1501,Autumn 2026,Randomised Algorithms,English
1502,Autumn 2025,Readings in Data Systems,English
1503,Autumn 2019,Reassembling Innovation,English
1504,Autumn 2017,Reassembling Innovation,English
1505,Spring 2020,Reassembling Innovation (Autumn 2018) - MERGED with KBREINN1KU-1,English
1506,Autumn 2020,Reassembling Innovation,English
1507,Autumn 2021,Reassembling Innovation,English
1508,Spring 2020,Reflections on Data Science,English
1509,Spring 2021,Reflections on Data Science,English
1510,Spring 2022,Reflections on Data Science,English
1511,Spring 2023,Reflections on Data Science,English
1512,Spring 2024,Reflections on Data Science,English
1513,Spring 2025,Reflections on Data Science,English
1514,Spring 2026,Reflections on Data Science,English
1515,Spring 2014,Reflections on IT,English
1516,Spring 2015,Reflections on IT,English
1517,Spring 2019,Reflections on IT,English
1518,Spring 2020,Reflections on IT,English
1519,Spring 2021,Reflections on IT,English
1520,Spring 2022,Reflections on IT,English
1521,Spring 2023,Reflections on IT,English
1522,Spring 2024,Reflections on IT,English
1523,Spring 2025,Reflections on IT,English
1524,Spring 2026,Reflections on IT,English
1525,Spring 2016,Refleksion over it,English
1526,Spring 2020,Second Year Project: Functional Programming,
1527,Autumn 2022,Security 1 - BSc,English
1528,Autumn 2023,Security 1 - BSc,English
1529,Autumn 2024,Security 1 - BSc,English
1530,Autumn 2018,Security 1/MSc,English
1531,Autumn 2018,Security 2,English
1532,Spring 2019,Security 2,English
1533,Spring 2020,Security 2,English
1534,Spring 2021,Security 2,English
1535,Spring 2022,Security 2,English
1536,Autumn 2019,Security and Compliance Brush-up,English
1537,Autumn 2019,Security and Compliance Brush-up (2025),English
1538,Autumn 2019,Security and Privacy,English
1539,Autumn 2020,Security and Privacy,English
1540,Autumn 2021,Security and Privacy,English
1541,Autumn 2022,Security and Privacy,English
1542,Autumn 2023,Security and Privacy,English
1543,Autumn 2024,Security and Privacy,English
1544,Autumn 2025,Security and Privacy,English
1545,Spring 2020,Security - BSc,English
1546,Spring 2017,Security - BSc,English
1547,Spring 2019,Security - BSc,English
1548,Spring 2021,Security - BSc,English
1549,Autumn 2019,Security - MSc (Autumn 2018) - MERGED with KSSECU11KU,English
1550,Spring 2017,Security - MSc,English
1551,Autumn 2021,Seminars in Data Science,English
1552,Autumn 2022,Seminars in Data Science,English
1553,Autumn 2023,Seminars in Data Science,English
1554,Autumn 2024,Seminars in Data Science,English
1555,Autumn 2025,Seminars in Data Science,English
1556,Autumn 2013,Service Design,English
1557,Autumn 2014,Service Design,English
1558,Autumn 2019,Service Design - Management and Implementation,English
1559,Autumn 2020,Service Design - Management and Implementation,English
1560,Autumn 2021,Service Design - Management and Implementation,English
1561,Autumn 2022,Service Design - Management and Implementation,English
1562,Autumn 2023,Service Design - Management and Implementation,English
1563,Autumn 2024,Service Design - Management and Implementation,English
1564,Autumn 2025,Service Design - Management and Implementation,English
1565,Spring 2014,Service Design: Theory and Practice,English
1566,Spring 2015,Service Design: Theory and Practice,English
1567,Spring 2016,Service Design: Theory and Practice,English
1568,Spring 2017,Service Design: Theory and Practice,English
1569,Spring 2018,Service Design: Theory and Practice,English
1570,Spring 2019,Service Economics,English
1571,Spring 2020,Service Economics,English
1572,Spring 2021,Service Economics,English
1573,Spring 2022,Service Economics,English
1574,Spring 2023,Service Economics,English
1575,Spring 2024,Service Economics,English
1576,Spring 2026,Service Economics,English
1577,Autumn 2016,Servicedesign og brugerinddragelse for it-ledere,English
1578,Autumn 2017,Servicedesign og digitalisering,English
1579,Autumn 2019,Situating Interactions,English
1580,Autumn 2020,Situating Interactions,English
1581,Autumn 2021,Situating Interactions,English
1582,Autumn 2022,Situating Interactions,English
1583,Autumn 2023,Situating Interactions,English
1584,Autumn 2024,Situating Interactions,English
1585,Autumn 2024,Situeret teknologi,Danish
1586,Autumn 2024,Situeret teknologi,English
1587,Autumn 2025,Situeret teknologi,English
1588,Autumn 2024,Sketching,English
1589,Autumn 2025,Sketching,English
1590,Autumn 2016,Social Media Management,English
1591,Autumn 2015,Social Media Usage,English
1592,Autumn 2016,Social Media Usage,English
1593,Autumn 2017,Social Media Usage,English
1594,Autumn 2018,Social Media Usage,English
1595,Spring 2015,Sociale medier: Kulturer og netværk (1. del af specialisering),English
1596,Spring 2016,Sociale medier: Kulturer og netværk,English
1597,Spring 2017,Sociale medier: Kulturer og netværk,English
1598,Spring 2018,Sociale medier: Kulturer og netværk,English
1599,Autumn 2024,Society & Technology,English
1600,Autumn 2025,Society & Technology,English
1601,Autumn 2019,Society and Technology,English
1602,Autumn 2019,Software Development and Software Engineering,English
1603,Autumn 2023,Software Development and Software Engineering,English
1604,Autumn 2020,Software Development and Software Engineering,English
1605,Autumn 2021,Software Development and Software Engineering,English
1606,Autumn 2022,Software Development and Software Engineering,English
1607,Autumn 2024,Software Development and Software Engineering,English
1608,Autumn 2022,Software Ecosystems - combining user centered design - organisational and technical dimensions,English
1609,Autumn 2023,Software Ecosystems - combining user centered design - organisational and technical dimensions,English
1610,Autumn 2025,Software Ecosystems - combining user centered design - organisational and technical dimensions,English
1611,Autumn 2019,Software Engineering,English
1612,Autumn 2020,Software Engineering,English
1613,Autumn 2021,Software Engineering,English
1614,Autumn 2022,Software Engineering,English
1615,Autumn 2023,Software Engineering,English
1616,Autumn 2024,Software Engineering,English
1617,Autumn 2025,Software Engineering,English
1618,Autumn 2013,Software Engineering and Software Qualities,English
1619,Autumn 2014,Software Engineering and Software Qualities,English
1620,Autumn 2015,Software Engineering and Software Qualities,English
1621,Autumn 2016,Software Engineering and Software Qualities,English
1622,Autumn 2017,Software Engineering and Software Qualities,English
1623,Autumn 2023,Software Engineering and Software Qualities (Autumn 2018) - MERGED with KSSOESQ1KU,English
1624,Autumn 2018,Software Engineering and Software Qualities - SD/SDT,English
1625,Autumn 2019,Software Engineering and Software Qualities - MSc SD,English
1626,Autumn 2025,Software and AI Studies,
1627,Autumn 2025,Software and AI Studies,English
1628,Spring 2019,Sourcing - Systemanskaffelse,English
1629,Autumn 2015,Sourcing og globalt samarbejde,English
1630,Autumn 2025,Special Topic in Interaction Design,English
1631,Autumn 2025,Special Topic in Service Design,English
1632,Autumn 2025,Special Topic in UX Design,English
1633,Autumn 2026,Styring af digitaliseringsprojekter i komplekse kontekster,Danish
1634,Autumn 2026,Sustainable IT,English
1635,Autumn 2016,Sustainable Innovation and Smart Cities,Danish
1636,Autumn 2013,System Architecture and Security,Danish
1637,Spring 2014,System Architecture and Security,Danish
1638,Spring 2015,System Architecture and Security,Danish
1639,Spring 2016,System Architecture and Security,Danish
1640,Spring 2014,System Development and Project Organisation,Danish
1641,Spring 2024,System Development and Project Organization,English
1642,Spring 2016,System Development and Project Organization,English
1643,Spring 2017,System Development and Project Organization,English
1644,Spring 2018,System Development and Project Organization,English
1645,Spring 2019,System Development and Project Organization,English
1646,Spring 2020,System Development and Project Organization,English
1647,Spring 2021,System Development and Project Organization,English
