paperUUID,personUUID,personName,personLastname,externalContributor,role
23475f01-c8d9-465f-9942-92d2a4d905fb,,Andy,Kirk,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,2575c800-642d-4984-9c56-41601cf07a26,Søren,Knudsen,false,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Doris,Kosminsky,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Tatiana,Losev,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Areti,Manataki,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Andrew,Manches,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Isabel,Meirelles,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Luiz,Morais,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Till,Nagel,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Rebecca,Noonan,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Georgia,Panagiotidou,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Laura,Pelchmann,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Fateme,Rajabiyazdi,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Christina,Stoiber,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Tatiana von,Landesberger,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Jagoda,Walny,true,Author
23475f01-c8d9-465f-9942-92d2a4d905fb,,Wesley,Willett,true,Author
0da408d4-62cf-4912-b55e-6a185253431c,,Reynald,Affeldt,true,Author
0da408d4-62cf-4912-b55e-6a185253431c,5c50bbc9-ed3d-417f-ba4d-e484eaf536b3,Alessandro,Bruni,false,Author
0da408d4-62cf-4912-b55e-6a185253431c,,Ekaterina,Komendantskaya,true,Author
0da408d4-62cf-4912-b55e-6a185253431c,,Natalia,Ślusarz,true,Author
0da408d4-62cf-4912-b55e-6a185253431c,,Kathrin,Stark,true,Author
a6844348-3cec-4fe0-a055-3489c63221de,,Reynald,Affeldt,true,Author
a6844348-3cec-4fe0-a055-3489c63221de,5c50bbc9-ed3d-417f-ba4d-e484eaf536b3,Alessandro,Bruni,false,Author
a6844348-3cec-4fe0-a055-3489c63221de,,Cyril,Cohen,true,Author
a6844348-3cec-4fe0-a055-3489c63221de,,Takafumi,Saikawa,true,Author
a6844348-3cec-4fe0-a055-3489c63221de,,Pierre,Roux,true,Author
